artist_name,popularity_score
Residente,61
Cris MJ,82
Tom Odell,77
Nirvana,83
Anitta,77
Tulus,75
Dave,83
Stray Kids,86
Paulo Londra,76
Davi Kneip,49
Mc Frog,51
Dj Gabriel do Borel,56
Luísa Sonza,73
Danny Ocean,81
Ryan Castro,82
Jimin,78
HA SUNG WOON,51
PSY,47
Bomba Estéreo,71
Tony Dize,73
Buscabulla,62
The Marías,84
Blxst,65
Amanda Reifer,56
Sampha,63
Taylour Paige,42
Summer Walker,77
Ghostface Killah,63
Sam Dew,57
Kate Bush,74
XXXTENTACION,84
Calvin Harris,87
Stephen Sanchez,73
Polimá Westcoast,62
Pailita,63
Joji,82
Beyoncé,85
OneRepublic,82
Feid,87
Paloma Mami,65
De La Ghetto,78
Nicky Youre,64
hey daisy,63
j-hope,77
Metallica,84
Quevedo,82
Steve Lacy,79
Villano Antillano,65
James Hype,71
Miggy Dela Rosa,60
Central Cee,81
Duki,79
Pritam,88
Arijit Singh,91
Amitabh Bhattacharya,82
Rosa Linn,64
BEAM,60
Rels B,81
BLACKPINK,83
Luar La L,77
Britney Spears,83
Bebe Rexha,79
Maldy,59
Ghost,73
IVE,76
Lyanno,72
Brray,70
Arctic Monkeys,86
d4vd,77
Rema,79
Sam Smith,82
Kim Petras,70
Coolio,70
L.V.,69
Pablito Pesadilla,47
Nickoog Clk,60
Fran C,45
Grupo Frontera,84
Gesaffelstein,71
Robin Schulz,78
Lil Yachty,77
Marshmello,81
Baby Rasta,66
Lana Del Rey,90
JVKE,77
Rihanna,93
Jin,76
Meghan Trainor,75
FIFA Sound,61
Metro Boomin,85
Arcángel,85
Lady Gaga,89
RM,72
Youjeen,61
Young Nudy,68
Em Beihold,69
070 Shake,70
Ñengo Flow,84
Darlene Love,48
NewJeans,78
King,77
Daft Punk,82
Miguel,81
Fuerza Regida,91
Yandel,79
TAEYANG,64
Carín León,84
Marília Mendonça,79
Natanael Cano,84
Peso Pluma,92
Gabito Ballesteros,79
Romeo Santos,86
Morgan Wallen,89
Léo Santana,70
PinkPantheress,84
Ice Spice,73
Coi Leray,68
Linkin Park,90
Lazza,71
Niall Horan,74
Gorillaz,85
Superstar Pride,47
Ovy On The Drums,82
Lizzy McAlpine,76
LiL CaKe,49
Migrantes,62
Nico Valdi,61
AgroPlay,68
Ana Castela,78
Cartel De Santa,79
La Kelly,56
Eslabon Armado,76
Eladio Carrion,80
Milo j,84
Taiu,67
Oscar Maydon,82
Junior H,90
Yng Lvcas,69
FIFTY FIFTY,65
JISOO,68
Agust D,74
IU,68
Young Miko,76
Chino Pacas,76
David Kushner,71
Libianca,61
Loreen,67
Käärijä,57
Yahritza Y Su Esencia,71
NLE Choppa,75
Muni Long,66
Fast & Furious: The Fast Saga,42
Madonna,81
Swae Lee,79
A Boogie Wit da Hoodie,79
Offset,78
Emilia,74
Rusherking,64
Big One,65
FMK,64
A$AP Rocky,86
Roisee,62
DENNIS,53
MC Kevin o Chris,69
Sky Rompiendo,69
J Hus,67
Aqua,65
Anne-Marie,76
Hayley Williams,71
Fall Out Boy,80
Latto,77
Troye Sivan,74
Rob49,62
Teezo Touchdown,66
James Blake,72
Westside Gunn,67
Peggy Gou,64
V,64
Oliver Anthony Music,61
Jasleen Royal,69
Dulquer Salmaan,57
Zach Bryan,88
Kacey Musgraves,75
cassö,65
D-Block Europe,73
Calle 24,78
Kenya Grace,62
Anirudh Ravichander,84
Shilpa Rao,74
Kumaar,76
Íñigo Quintero,64
Mitski,81
Tyla,79
Yeat,84
Sexyy Red,75
Bryant Myers,81
YOVNGCHIMI,71
Darell,77
The Beatles,85
Lord Huron,76
Noah Kahan,86
Grupo Firme,82
Major Lazer,76
JENNIE,85
Lily-Rose Depp,73
Manan Bhardwaj,63
Bhupinder Babbal,51
Baby Tate,62
Vishal Mishra,77
Raj Shekhar,69
Xavi,66
ATL Jacob,67
Perry Como,57
The Fontane Sisters,41
Mitchell Ayres & His Orchestra,47
Elvis Presley,78
Eartha Kitt,50
Henri René and His Orchestra,39
The Beach Boys,72
Vance Joy,76
Teddy Swims,84
Sophie Ellis-Bextor,66
Benson Boone,83
Flo Milli,71
Natasha Bedingfield,74
Oscar Ortiz,60
Edgardo Nuñez,73
YG Marley,59
¥$,71
Geolier,77
Michelangelo,39
Djo,82
FloyyMenor,77
Beat Record,39
Bryson Tiller,79
Rich Amiri,66
Nonna,48
Michael Marcagi,66
Zeynep Bastık,62
Hozier,83
Artemas,76
ILLIT,77
Tito Double P,90
Joel De La P,61
Dasha,67
Mark Ambor,67
Richy Mitch & The Coal Miners,68
Jaxomy,58
Agatino Romero,57
Raffaella Carrà,60
Lay Bankz,61
Florence + The Machine,79
Shaboozey,76
Ayra Starr,75
Tommy Richman,69
Chappell Roan,81
Joost,66
Nemo,48
Luis R Conriquez,82
Neton Vega,85
Myles Smith,76
DJ TOPO,65
Seu Jorge,67
Mc Leozin,71
MC G15,65
aespa,76
Trueno,76
Blake Shelton,71
Gracie Abrams,83
Loco,22
Quavo,78
Adam Port,72
Stryv,68
Keinemusik,72
Orso,40
Malachiii,69
Sevdaliza,68
Pabllo Vittar,68
Yseult,63
White Gold,52
Big Sean,76
BabyTron,64
Yuki Chiba,61
*NSYNC,70
The Goo Goo Dolls,78
Luke Combs,87
Hanumankind,71
Kalmi,61
Jordan Adetunji,62
Kapo,81
Maisak,64
Bernadya,68
Gigi Perez,77
LOUKI,57
Omar Courtz,88
De La Rose,79
Ndotz,63
Addison Rae,76
One Direction,84
GloRilla,76
MC Tuto,79
DJ Glenner,70
ScHoolboy Q,74
Santigold,67
Lola Young,76
DFZM,68
Lefty Gunplay,67
Stromae,74
Pomme,66
Dody6,53
Wallie the Sensei,54
Siete7x,51
AZ Chike,61
Hitta J3,51
YoungThreat,46
Peysoh,56
Park Hyo Shin,66
John Williams,71
Laufey,83
Chuck Berry,65
Pentatonix,63
Bruce Springsteen,77
yung kai,68
The Police,79
Oruam,76
Zé Felipe,71
Dj Lc da Roça,54
Mc Rodrigo do CN,77
MC K9,55
mc pl alves,65
Dei V,80
RaiNao,67
Chuwi,68
Los Pleneros de la Cresta,68
Alleh,74
Yorghaki,73
Doechii,78
Justice,67
Dominic Fike,85
Alemán,78
Jay Rock,70
Olly,72
Juli,59
Speedy,32
Alex Warren,86
W Sound,74
Beéle,86
Jhené Aiko,78
Skepta,76
Lil Tecca,79
WizTheMc,72
bees & honey,42
sombr,86
NIKI,85
Jombriel,68
Jøtta,66
Cup of Joe,75
ATLXS,73
Ravyn Lenae,77
Fourtwnty,68
Charita Utami,64
Clave Especial,74
KATSEYE,83
Silent Addy,65
Skillibeng,69
Shenseea,70
Jelly Roll,79
F1 The Album,74
HUNTR/X,82
EJAE,82
AUDREY NUNA,81
REI AMI,82
KPop Demon Hunters Cast,84
Saja Boys,73
Andrew Choi,75
Neckwav,73
Danny Chung,73
KEVIN WOO,73
samUIL Lee,73
Rumi,66
Jinu,66
Los Dareyes De La Sierra,77
Fleetwood Mac,85
Tanishk Bagchi,78
Faheem Abdullah,75
Arslan Nizami,67
Irshad Kamil,84
Black Sabbath,76
Disco Lines,75
Tinashe,77
Radiohead,86
Olivia Dean,92
Young Cister,72
Kreamly,69
Aditya Rikhari,74
Easykid,68
Dysbit,63
De La Soul,74
ZAYN,77
Tame Impala,87
DJ Japa NK,82
MC Meno K,84
MC Ryan SP,84
Mc Jacaré,77
DJ DAVI DOGDOG,75
LE SSERAFIM,79
Björk,70
Yves Tumor,66
El Bogueto,79
Yung Beef,77
Michael Jackson,87
BLOK3,75
Idgitaf,72
Eagles,77
The Pogues,59
Kirsty MacColl,48
The Andrews Sisters,53
Queen,84
Zara Larsson,87
She & Him,46
EsDeeKid,82
Rico Ace,76
Wizkid,82
Kyla,50
SIENNA SPIRO,80
Prince,76
Gangsta,63
Nadhif Basalamah,77
