source
"Cole World, Inc. under exclusive license to Interscope Records"
Richy Mitch & The Coal Miners
Columbia/B1 Recordings/Ultra Records
Artist Partner Group
American Dogwood / EMPIRE
"Kendrick Lamar, under exclusive license to Interscope Records"
PULSE Records
Chappell Roan PS/ Island
Kendrick Lamar under exclusive license to Interscope Records
Joost Klein
Better Now Records
Kartel Music
DJ TOPO
SM Entertainment
Shady/Aftermath/Interscope Records
FEID
Mercury Records/Post Malone
"Gracie Abrams, under exclusive license to Interscope Records"
Lloud Co./RCA Records
Keinemusik
Big Loud Records / Mercury Records / Republic Records
Twisted Elegance
10K Projects/Capitol Records
Universal Music India Pvt Ltd.
Mercury Records / Republic Records
Juni Records
"Outtahere, LLC / Island Records"
2024 Double P Records
AWGE/Interscope Records
Gigi Perez PS/ Island
Mr.305 Records / Rimas Entertainment LLC.
Isekai Records
OA Entertainment/Columbia
Rancho Humilde/Sony Music Latin
Sonar Music
"pgLang, under exclusive license to Interscope Records"
Universal Music Ltd.
Masterworks
Laufey
Geffen*
NITRON concepts
BMG Rights Management (US) LLC
Mainstreet Records
Josa Records
Cactus Jack / Epic
La Ciudad
Top Dawg Entertainment/Capitol Records
Black Panther (TDE/DMG) PS
HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin
OVO Sound
Rancho Humilde/Street Mob Records/Sony Music Latin
Cactus Jack / Atlantic
Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin
Galactic / Republic Records
Bamboo Artists
Gingerbread Man Records / Atlantic Records UK
Viva Records
broke
Streamline/Interscope
Fourtwnty Music
HYBE/Geffen
WONDERGIRL LLC
K-Pop Demon Hunters
Rhino/Warner Records
"JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings"
YRF Music
Sanctuary Records
K Music/Sony Music Latin
PLG - Capitol
Def Jam Recordings
Easykid
Palace Creek
Bololo Records
SOURCE MUSIC
Candela Music
Mundo Music
idgitaf musik
Rhino/Elektra
Vingolf Recordings
WM UK
Epic/Record Company TEN
Merge Records
El Bogueto
Lizzy Records
Neighbourhood
Cash Money Records/Young Money Ent./Universal Rec.
Hybe/Geffen
DJ Snake Def Jam
Roc Nation Distribution
A$AP Worldwide/RCA Records
AWOO Corp./Sony Music Latin
After School
Mercury Records
CactusJack/Donnway/ATL
Universal Music Latino / Rimas
